5,1.5,2,0,NaN,0,0,1
NaN,NaN,NaN,NaN,NaN,NaN,0,0
3.2,3,4,0,NaN,0,1,0
3.6,3.5,10,1,NaN,0,0,0
1,5,1,0,NaN,0,0,0
3.5,3.3,22,0,56,7,1,0
2.3,3.5,2,0,NaN,0,0,0
2.5,3,2,0,NaN,0,1,1
2.6,4.5,4,1,NaN,0,0,0
3,1,1,0,NaN,0,0,1
4.5,3,1,0,NaN,0,0,1
3,3,1,0,NaN,0,0,1
2.5,5,1,0,NaN,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
4.2,1.7,3,1,NaN,0,0,1
1.3,5,2,0,NaN,2,0,1
1,4.5,2,0,NaN,1,0,1
2.6,4.1,10,0,NaN,0,1,0
3.7,2.7,3,0,NaN,1,1,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
3.5,2,1,0,NaN,0,0,0
4.3,3.3,16,1,83,0,0,1
4.8,2.5,4,1,NaN,0,0,0
4.1,1.8,8,0,NaN,0,0,1
3.5,5,1,0,NaN,0,1,0
5,1,1,0,NaN,0,1,0
5,1,1,0,NaN,0,1,0
2.2,4.4,5,0,NaN,0,0,0
2.5,3.5,2,0,NaN,0,0,0
4,2,1,0,NaN,0,0,1
4.8,1.7,3,0,NaN,0,1,0
4.5,2,1,0,NaN,0,0,1
5,4,2,0,NaN,0,0,1
1,5,1,0,NaN,0,1,0
2.5,4,1,0,NaN,0,0,1
3.5,3.2,20,1,NaN,0,1,0
1.8,3.8,15,0,22,1,0,1
NaN,NaN,NaN,NaN,NaN,NaN,0,0
4.1,3.3,21,0,67,0,0,1
4.2,2.7,8,1,NaN,1,0,1
3.5,3,1,0,NaN,0,1,0
2,3.7,3,0,NaN,0,1,0
4.2,1.8,26,1,57,8,1,0
3,1,2,0,NaN,0,0,1
3.8,2.8,5,0,NaN,0,0,1
5,1,1,0,NaN,0,1,0
4.1,2.8,5,1,NaN,1,0,1
2.5,3,5,0,NaN,0,1,0
3.6,2.7,3,0,NaN,0,0,1
4.3,2.3,3,0,NaN,0,1,1
3,2.5,2,0,NaN,2,0,1
NaN,NaN,NaN,NaN,NaN,NaN,0,0
4.4,2.8,4,0,NaN,0,1,0
5,3.3,3,1,NaN,0,0,1
NaN,NaN,NaN,NaN,NaN,NaN,0,0
4.8,1.7,3,1,NaN,0,0,1
3.8,3.1,15,1,NaN,2,0,1
4.8,2.5,2,0,NaN,0,0,1
4.4,2.7,6,1,NaN,0,0,1
4.5,1,2,0,NaN,0,0,0
3.1,3.7,7,0,50,1,1,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
3.3,4.5,2,0,NaN,0,1,0
2.1,4,18,0,12,1,0,0
3.3,4.3,7,1,NaN,0,1,0
4.8,1.2,8,1,NaN,0,1,0
4.4,2.8,4,0,NaN,0,1,1
4.1,3.7,10,1,NaN,0,0,0
3.4,3.3,11,0,NaN,0,0,1
NaN,NaN,NaN,NaN,NaN,NaN,0,0
4,3.9,10,1,NaN,0,1,0
4.6,1.7,11,0,NaN,0,0,1
3.9,3.3,4,0,NaN,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
2.5,2.5,2,0,NaN,0,0,0
4,3.2,5,1,NaN,0,1,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
5,3,1,0,NaN,0,1,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
3.3,3.5,2,0,NaN,0,0,0
4.8,2.8,5,1,NaN,0,0,1
5,3,1,0,NaN,0,1,0
1.9,3.7,6,0,NaN,0,0,0
3.4,2.7,11,0,NaN,0,0,1
NaN,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
3,2,2,0,NaN,0,1,0
5,2,1,1,NaN,0,0,0
2.5,4,2,0,NaN,0,1,0
3.6,3.2,17,0,86,0,0,0
5,2,1,0,NaN,0,1,0
4.3,2.9,9,0,100,0,1,0
4.6,2.2,16,1,89,1,0,1
2.5,3.3,3,0,NaN,0,0,0
2,3,1,0,NaN,0,1,0
4.8,2,6,1,NaN,0,0,1
NaN,NaN,NaN,NaN,NaN,NaN,0,0
3,2.5,13,0,43,0,0,0
5,3,1,0,NaN,1,1,0
4.7,2,3,0,NaN,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
4.5,3.2,10,0,89,5,1,0
4.8,1.3,3,0,NaN,2,1,0
4.7,3,3,1,NaN,0,0,1
4.7,3,3,0,NaN,0,0,0
3,4,1,0,NaN,0,1,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
4.3,2.3,3,0,NaN,0,0,1
2.8,2.3,9,0,50,0,0,1
NaN,NaN,NaN,NaN,NaN,NaN,0,0
3.6,2.3,4,1,NaN,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
1.5,5,1,0,NaN,0,1,0
3.2,3.9,29,0,50,0,1,0
3.5,2,1,0,NaN,0,0,1
5,3,1,0,NaN,0,0,1
3.8,3,25,0,55,0,1,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
5,1.9,60,1,100,4,0,1
4.9,1.8,17,1,NaN,0,0,1
1.8,4,2,0,NaN,0,1,0
5,3,1,0,NaN,0,0,1
1.9,4,4,0,NaN,0,1,1
5,3,1,0,NaN,0,1,0
1.5,5,1,0,NaN,0,0,1
4.9,2.4,5,1,NaN,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
2.3,3.8,23,0,31,0,0,1
NaN,NaN,NaN,NaN,NaN,NaN,0,0
1.3,4.5,12,0,NaN,0,0,0
5,3,1,0,NaN,0,1,0
3.9,2.3,3,1,NaN,1,1,1
NaN,NaN,NaN,NaN,NaN,NaN,0,0
3.2,4,5,0,40,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
5,1,1,1,NaN,0,0,1
1.4,4.4,8,0,20,0,1,0
4.3,2.5,30,1,86,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
3,3.2,5,0,NaN,0,1,0
5,1,1,0,NaN,0,0,1
3,3.7,3,0,NaN,0,1,1
4.2,3.1,9,1,NaN,0,0,0
1,5,2,0,NaN,1,0,1
4.2,2.1,7,1,NaN,4,0,1
2.5,3,2,0,NaN,0,0,1
3.5,3,1,0,NaN,0,1,0
2.9,3.2,6,0,NaN,5,1,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
1.6,4.1,12,0,NaN,0,1,0
4.8,2.5,24,0,100,14,1,0
3.6,2.7,6,0,NaN,0,1,0
2,4,8,0,NaN,4,1,1
NaN,NaN,NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
3.8,4,3,0,NaN,0,0,1
1,5,2,0,NaN,0,0,1
3.1,2.4,8,0,60,0,0,0
NaN,NaN,NaN,NaN,NaN,NaN,0,0
